location_area_id,location_area_name,location_name,region,region_map_url,location_type
1,canalave-city-area,canalave-city,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
2,eterna-city-area,eterna-city,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
3,pastoria-city-area,pastoria-city,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
4,sunyshore-city-area,sunyshore-city,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
5,sinnoh-pokemon-league-area,sinnoh-pokemon-league,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,special
6,oreburgh-mine-1f,oreburgh-mine,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
7,oreburgh-mine-b1f,oreburgh-mine,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
8,valley-windworks-area,valley-windworks,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
9,eterna-forest-area,eterna-forest,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
10,fuego-ironworks-area,fuego-ironworks,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
11,mt-coronet-1f-route-207,mt-coronet,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
12,mt-coronet-2f,mt-coronet,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
13,mt-coronet-3f,mt-coronet,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
14,mt-coronet-exterior-snowfall,mt-coronet,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
15,mt-coronet-exterior-blizzard,mt-coronet,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
16,mt-coronet-4f,mt-coronet,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
17,mt-coronet-4f-small-room,mt-coronet,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
18,mt-coronet-5f,mt-coronet,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
19,mt-coronet-6f,mt-coronet,sinnoh,https://upload.wikimedia.org/wikipedia/commons/8/85/Sinnoh_Map.png,geographic
