encounter_id,pokemon_id,location_area_id,version,generation
1,72,1,diamond,generation-iv
2,72,1,pearl,generation-iv
3,72,1,platinum,generation-iv
4,73,1,diamond,generation-iv
5,73,1,pearl,generation-iv
6,73,1,platinum,generation-iv
7,120,1,diamond,generation-iv
8,120,1,pearl,generation-iv
9,120,1,platinum,generation-iv
10,129,1,diamond,generation-iv
11,129,1,pearl,generation-iv
12,129,1,platinum,generation-iv
13,130,1,diamond,generation-iv
14,130,1,pearl,generation-iv
15,130,1,platinum,generation-iv
16,278,1,diamond,generation-iv
17,278,1,pearl,generation-iv
18,279,1,diamond,generation-iv
19,279,1,pearl,generation-iv
20,422,1,platinum,generation-iv
21,423,1,platinum,generation-iv
22,456,1,diamond,generation-iv
23,456,1,pearl,generation-iv
24,456,1,platinum,generation-iv
25,457,1,diamond,generation-iv
26,457,1,pearl,generation-iv
27,457,1,platinum,generation-iv
28,54,2,diamond,generation-iv
29,54,2,pearl,generation-iv
30,54,2,platinum,generation-iv
31,55,2,diamond,generation-iv
32,55,2,pearl,generation-iv
33,55,2,platinum,generation-iv
34,129,2,diamond,generation-iv
35,129,2,pearl,generation-iv
36,129,2,platinum,generation-iv
37,130,2,diamond,generation-iv
38,130,2,pearl,generation-iv
39,130,2,platinum,generation-iv
40,339,2,diamond,generation-iv
41,339,2,pearl,generation-iv
42,339,2,platinum,generation-iv
43,340,2,diamond,generation-iv
44,340,2,pearl,generation-iv
45,340,2,platinum,generation-iv
46,72,3,diamond,generation-iv
47,72,3,pearl,generation-iv
48,72,3,platinum,generation-iv
49,73,3,diamond,generation-iv
50,73,3,pearl,generation-iv
51,73,3,platinum,generation-iv
52,129,3,diamond,generation-iv
53,129,3,pearl,generation-iv
54,129,3,platinum,generation-iv
55,130,3,diamond,generation-iv
56,130,3,pearl,generation-iv
57,130,3,platinum,generation-iv
58,223,3,diamond,generation-iv
59,223,3,pearl,generation-iv
60,223,3,platinum,generation-iv
61,224,3,diamond,generation-iv
62,224,3,pearl,generation-iv
63,224,3,platinum,generation-iv
64,278,3,diamond,generation-iv
65,278,3,pearl,generation-iv
66,278,3,platinum,generation-iv
67,279,3,diamond,generation-iv
68,279,3,pearl,generation-iv
69,422,3,platinum,generation-iv
70,423,3,platinum,generation-iv
71,72,4,platinum,generation-iv
72,73,4,diamond,generation-iv
73,73,4,pearl,generation-iv
74,73,4,platinum,generation-iv
75,120,4,diamond,generation-iv
76,120,4,pearl,generation-iv
77,120,4,platinum,generation-iv
78,129,4,diamond,generation-iv
79,129,4,pearl,generation-iv
80,129,4,platinum,generation-iv
81,130,4,diamond,generation-iv
82,130,4,pearl,generation-iv
83,130,4,platinum,generation-iv
84,223,4,diamond,generation-iv
85,223,4,pearl,generation-iv
86,223,4,platinum,generation-iv
87,224,4,diamond,generation-iv
88,224,4,pearl,generation-iv
89,224,4,platinum,generation-iv
90,278,4,platinum,generation-iv
91,279,4,diamond,generation-iv
92,279,4,pearl,generation-iv
93,279,4,platinum,generation-iv
94,458,4,diamond,generation-iv
95,458,4,pearl,generation-iv
96,73,5,diamond,generation-iv
97,73,5,pearl,generation-iv
98,73,5,platinum,generation-iv
99,129,5,diamond,generation-iv
100,129,5,pearl,generation-iv
101,129,5,platinum,generation-iv
102,130,5,diamond,generation-iv
103,130,5,pearl,generation-iv
104,130,5,platinum,generation-iv
105,223,5,diamond,generation-iv
106,223,5,pearl,generation-iv
107,223,5,platinum,generation-iv
108,224,5,diamond,generation-iv
109,224,5,pearl,generation-iv
110,224,5,platinum,generation-iv
111,278,5,platinum,generation-iv
112,279,5,diamond,generation-iv
113,279,5,pearl,generation-iv
114,279,5,platinum,generation-iv
115,370,5,diamond,generation-iv
116,370,5,pearl,generation-iv
117,370,5,platinum,generation-iv
118,41,6,diamond,generation-iv
119,41,6,pearl,generation-iv
120,41,6,platinum,generation-iv
121,74,6,diamond,generation-iv
122,74,6,pearl,generation-iv
123,74,6,platinum,generation-iv
124,95,6,diamond,generation-iv
125,95,6,pearl,generation-iv
126,95,6,platinum,generation-iv
127,41,7,diamond,generation-iv
128,41,7,pearl,generation-iv
129,41,7,platinum,generation-iv
130,74,7,diamond,generation-iv
131,74,7,pearl,generation-iv
132,74,7,platinum,generation-iv
133,95,7,diamond,generation-iv
134,95,7,pearl,generation-iv
135,95,7,platinum,generation-iv
136,72,8,diamond,generation-iv
137,72,8,pearl,generation-iv
138,72,8,platinum,generation-iv
139,73,8,diamond,generation-iv
140,73,8,pearl,generation-iv
141,73,8,platinum,generation-iv
142,90,8,diamond,generation-iv
143,90,8,pearl,generation-iv
144,90,8,platinum,generation-iv
145,129,8,diamond,generation-iv
146,129,8,pearl,generation-iv
147,129,8,platinum,generation-iv
148,130,8,diamond,generation-iv
149,130,8,pearl,generation-iv
150,130,8,platinum,generation-iv
151,179,8,diamond,generation-iv
152,179,8,pearl,generation-iv
153,179,8,platinum,generation-iv
154,239,8,diamond,generation-iv
155,239,8,pearl,generation-iv
156,278,8,diamond,generation-iv
157,278,8,pearl,generation-iv
158,279,8,diamond,generation-iv
159,279,8,pearl,generation-iv
160,309,8,diamond,generation-iv
161,309,8,pearl,generation-iv
162,309,8,platinum,generation-iv
163,399,8,diamond,generation-iv
164,399,8,pearl,generation-iv
165,403,8,platinum,generation-iv
166,417,8,diamond,generation-iv
167,417,8,pearl,generation-iv
168,417,8,platinum,generation-iv
169,418,8,diamond,generation-iv
170,418,8,pearl,generation-iv
171,418,8,platinum,generation-iv
172,422,8,diamond,generation-iv
173,422,8,pearl,generation-iv
174,422,8,platinum,generation-iv
175,423,8,platinum,generation-iv
176,425,8,diamond,generation-iv
177,425,8,pearl,generation-iv
178,425,8,platinum,generation-iv
179,456,8,diamond,generation-iv
180,456,8,pearl,generation-iv
181,456,8,platinum,generation-iv
182,457,8,diamond,generation-iv
183,457,8,pearl,generation-iv
184,457,8,platinum,generation-iv
185,10,9,platinum,generation-iv
186,11,9,diamond,generation-iv
187,11,9,pearl,generation-iv
188,11,9,platinum,generation-iv
189,13,9,platinum,generation-iv
190,14,9,diamond,generation-iv
191,14,9,pearl,generation-iv
192,14,9,platinum,generation-iv
193,92,9,platinum,generation-iv
194,163,9,platinum,generation-iv
195,198,9,diamond,generation-iv
196,200,9,pearl,generation-iv
197,204,9,diamond,generation-iv
198,204,9,pearl,generation-iv
199,204,9,platinum,generation-iv
200,265,9,diamond,generation-iv
201,265,9,pearl,generation-iv
202,265,9,platinum,generation-iv
203,266,9,diamond,generation-iv
204,266,9,platinum,generation-iv
205,267,9,diamond,generation-iv
206,267,9,platinum,generation-iv
207,268,9,pearl,generation-iv
208,268,9,platinum,generation-iv
209,269,9,pearl,generation-iv
210,269,9,platinum,generation-iv
211,273,9,diamond,generation-iv
212,273,9,pearl,generation-iv
213,273,9,platinum,generation-iv
214,287,9,diamond,generation-iv
215,287,9,pearl,generation-iv
216,287,9,platinum,generation-iv
217,290,9,diamond,generation-iv
218,290,9,pearl,generation-iv
219,290,9,platinum,generation-iv
220,399,9,platinum,generation-iv
221,401,9,platinum,generation-iv
222,406,9,diamond,generation-iv
223,406,9,pearl,generation-iv
224,406,9,platinum,generation-iv
225,427,9,diamond,generation-iv
226,427,9,pearl,generation-iv
227,427,9,platinum,generation-iv
228,72,10,diamond,generation-iv
229,72,10,pearl,generation-iv
230,72,10,platinum,generation-iv
231,73,10,diamond,generation-iv
232,73,10,pearl,generation-iv
233,73,10,platinum,generation-iv
234,81,10,diamond,generation-iv
235,81,10,pearl,generation-iv
236,81,10,platinum,generation-iv
237,90,10,diamond,generation-iv
238,90,10,pearl,generation-iv
239,90,10,platinum,generation-iv
240,126,10,platinum,generation-iv
241,129,10,diamond,generation-iv
242,129,10,pearl,generation-iv
243,129,10,platinum,generation-iv
244,130,10,diamond,generation-iv
245,130,10,pearl,generation-iv
246,130,10,platinum,generation-iv
247,187,10,pearl,generation-iv
248,188,10,pearl,generation-iv
249,278,10,diamond,generation-iv
250,278,10,pearl,generation-iv
251,279,10,diamond,generation-iv
252,279,10,pearl,generation-iv
253,304,10,diamond,generation-iv
254,304,10,platinum,generation-iv
255,403,10,diamond,generation-iv
256,403,10,pearl,generation-iv
257,404,10,diamond,generation-iv
258,404,10,pearl,generation-iv
259,417,10,diamond,generation-iv
260,417,10,pearl,generation-iv
261,419,10,diamond,generation-iv
262,419,10,pearl,generation-iv
263,419,10,platinum,generation-iv
264,422,10,diamond,generation-iv
265,422,10,pearl,generation-iv
266,422,10,platinum,generation-iv
267,423,10,diamond,generation-iv
268,423,10,pearl,generation-iv
269,423,10,platinum,generation-iv
270,456,10,diamond,generation-iv
271,456,10,pearl,generation-iv
272,456,10,platinum,generation-iv
273,457,10,diamond,generation-iv
274,457,10,pearl,generation-iv
275,457,10,platinum,generation-iv
276,35,11,platinum,generation-iv
277,41,11,diamond,generation-iv
278,41,11,pearl,generation-iv
279,41,11,platinum,generation-iv
280,42,11,diamond,generation-iv
281,42,11,pearl,generation-iv
282,42,11,platinum,generation-iv
283,66,11,diamond,generation-iv
284,66,11,pearl,generation-iv
285,66,11,platinum,generation-iv
286,74,11,diamond,generation-iv
287,74,11,pearl,generation-iv
288,74,11,platinum,generation-iv
289,129,11,diamond,generation-iv
290,129,11,pearl,generation-iv
291,129,11,platinum,generation-iv
292,130,11,diamond,generation-iv
293,130,11,pearl,generation-iv
294,130,11,platinum,generation-iv
295,173,11,diamond,generation-iv
296,173,11,pearl,generation-iv
297,299,11,platinum,generation-iv
298,307,11,diamond,generation-iv
299,307,11,pearl,generation-iv
300,307,11,platinum,generation-iv
301,339,11,diamond,generation-iv
302,339,11,pearl,generation-iv
303,339,11,platinum,generation-iv
304,340,11,diamond,generation-iv
305,340,11,pearl,generation-iv
306,340,11,platinum,generation-iv
307,433,11,diamond,generation-iv
308,433,11,pearl,generation-iv
309,433,11,platinum,generation-iv
310,436,11,platinum,generation-iv
311,35,12,diamond,generation-iv
312,35,12,pearl,generation-iv
313,35,12,platinum,generation-iv
314,42,12,diamond,generation-iv
315,42,12,pearl,generation-iv
316,42,12,platinum,generation-iv
317,67,12,diamond,generation-iv
318,67,12,pearl,generation-iv
319,67,12,platinum,generation-iv
320,75,12,diamond,generation-iv
321,75,12,pearl,generation-iv
322,75,12,platinum,generation-iv
323,299,12,platinum,generation-iv
324,308,12,diamond,generation-iv
325,308,12,pearl,generation-iv
326,308,12,platinum,generation-iv
327,337,12,diamond,generation-iv
328,337,12,pearl,generation-iv
329,337,12,platinum,generation-iv
330,338,12,diamond,generation-iv
331,338,12,pearl,generation-iv
332,338,12,platinum,generation-iv
333,433,12,diamond,generation-iv
334,433,12,pearl,generation-iv
335,433,12,platinum,generation-iv
336,436,12,diamond,generation-iv
337,436,12,pearl,generation-iv
338,437,12,diamond,generation-iv
339,437,12,pearl,generation-iv
340,437,12,platinum,generation-iv
341,35,13,diamond,generation-iv
342,35,13,pearl,generation-iv
343,35,13,platinum,generation-iv
344,42,13,diamond,generation-iv
345,42,13,pearl,generation-iv
346,42,13,platinum,generation-iv
347,67,13,diamond,generation-iv
348,67,13,pearl,generation-iv
349,67,13,platinum,generation-iv
350,75,13,diamond,generation-iv
351,75,13,pearl,generation-iv
352,75,13,platinum,generation-iv
353,299,13,platinum,generation-iv
354,308,13,diamond,generation-iv
355,308,13,pearl,generation-iv
356,308,13,platinum,generation-iv
357,337,13,diamond,generation-iv
358,337,13,pearl,generation-iv
359,337,13,platinum,generation-iv
360,338,13,diamond,generation-iv
361,338,13,pearl,generation-iv
362,338,13,platinum,generation-iv
363,433,13,diamond,generation-iv
364,433,13,pearl,generation-iv
365,433,13,platinum,generation-iv
366,436,13,diamond,generation-iv
367,436,13,pearl,generation-iv
368,437,13,diamond,generation-iv
369,437,13,pearl,generation-iv
370,437,13,platinum,generation-iv
371,35,14,diamond,generation-iv
372,35,14,pearl,generation-iv
373,42,14,diamond,generation-iv
374,42,14,pearl,generation-iv
375,42,14,platinum,generation-iv
376,67,14,diamond,generation-iv
377,67,14,pearl,generation-iv
378,67,14,platinum,generation-iv
379,164,14,diamond,generation-iv
380,164,14,pearl,generation-iv
381,164,14,platinum,generation-iv
382,294,14,diamond,generation-iv
383,294,14,pearl,generation-iv
384,294,14,platinum,generation-iv
385,299,14,platinum,generation-iv
386,308,14,diamond,generation-iv
387,308,14,pearl,generation-iv
388,308,14,platinum,generation-iv
389,337,14,diamond,generation-iv
390,337,14,pearl,generation-iv
391,337,14,platinum,generation-iv
392,338,14,diamond,generation-iv
393,338,14,pearl,generation-iv
394,338,14,platinum,generation-iv
395,359,14,platinum,generation-iv
396,433,14,diamond,generation-iv
397,433,14,pearl,generation-iv
398,433,14,platinum,generation-iv
399,437,14,diamond,generation-iv
400,437,14,pearl,generation-iv
401,459,14,diamond,generation-iv
402,459,14,pearl,generation-iv
403,459,14,platinum,generation-iv
404,460,14,diamond,generation-iv
405,460,14,pearl,generation-iv
406,460,14,platinum,generation-iv
407,35,15,diamond,generation-iv
408,35,15,pearl,generation-iv
409,42,15,diamond,generation-iv
410,42,15,pearl,generation-iv
411,42,15,platinum,generation-iv
412,67,15,diamond,generation-iv
