id,name,height,weight,base_experience,types,abilities,moves,gender_rate,male_pct,female_pct,genderless,capture_rate,is_legendary,is_mythical,generation,good_against_types,weak_to_types,resist_to_types,immune_to_types,sprite_url,evolves_from,evolves_to,can_evolve,evolution_details,encounter_locations,encounter_versions,stat_hp,stat_attack,stat_defense,stat_special-attack,stat_special-defense,stat_speed
1,bulbasaur,7,69,64,"grass,poison","overgrow,chlorophyll","razor-wind,swords-dance,cut,bind,vine-whip,headbutt,tackle,body-slam,take-down,double-edge,growl,strength,mega-drain,leech-seed,growth,razor-leaf,solar-beam,poison-powder,sleep-powder,petal-dance,string-shot,toxic,rage,mimic,double-team,defense-curl,light-screen,reflect,bide,sludge,skull-bash,amnesia,flash,rest,substitute,snore,curse,protect,sludge-bomb,mud-slap,outrage,giga-drain,endure,charm,false-swipe,swagger,fury-cutter,attract,sleep-talk,return,frustration,safeguard,sweet-scent,synthesis,hidden-power,sunny-day,rock-smash,facade,nature-power,helping-hand,ingrain,knock-off,secret-power,weather-ball,grass-whistle,bullet-seed,magical-leaf,natural-gift,worry-seed,seed-bomb,energy-ball,leaf-storm,power-whip,captivate,grass-knot,venoshock,acid-spray,round,echoed-voice,grass-pledge,work-up,grassy-terrain,confide,grassy-glide,tera-blast,trailblaze",1,87.5,12.5,False,45,False,False,generation-i,"fairy,grass,ground,rock,water","bug,fire,flying,ground,ice,poison,psychic","bug,electric,fairy,fighting,grass,ground,poison,water",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,,ivysaur,True,ivysaur por level-up (nivel 16),"alola-route-2-main,cerulean-city-area,lumiose-city-area,pallet-town-area","blue,firered,heartgold,leafgreen,red,soulsilver,ultra-moon,ultra-sun,x,y,yellow",45,49,49,65,65,45
2,ivysaur,10,130,142,"grass,poison","overgrow,chlorophyll","swords-dance,cut,bind,vine-whip,headbutt,tackle,body-slam,take-down,double-edge,growl,roar,strength,mega-drain,leech-seed,growth,razor-leaf,solar-beam,poison-powder,sleep-powder,petal-dance,string-shot,toxic,rage,mimic,double-team,defense-curl,light-screen,reflect,bide,amnesia,flash,rest,substitute,snore,curse,protect,sludge-bomb,mud-slap,outrage,giga-drain,endure,charm,false-swipe,swagger,fury-cutter,attract,sleep-talk,return,frustration,safeguard,sweet-scent,synthesis,hidden-power,sunny-day,rock-smash,facade,nature-power,helping-hand,ingrain,knock-off,secret-power,weather-ball,bullet-seed,magical-leaf,natural-gift,worry-seed,seed-bomb,energy-ball,leaf-storm,power-whip,captivate,grass-knot,venoshock,acid-spray,round,echoed-voice,grass-pledge,work-up,grassy-terrain,confide,grassy-glide,tera-blast,trailblaze",1,87.5,12.5,False,45,False,False,generation-i,"fairy,grass,ground,rock,water","bug,fire,flying,ground,ice,poison,psychic","bug,electric,fairy,fighting,grass,ground,poison,water",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,bulbasaur,venusaur,True,venusaur por level-up (nivel 32),,,60,62,63,80,80,60
3,venusaur,20,1000,236,"grass,poison","overgrow,chlorophyll","swords-dance,cut,bind,vine-whip,headbutt,tackle,body-slam,take-down,double-edge,growl,roar,hyper-beam,strength,mega-drain,leech-seed,growth,razor-leaf,solar-beam,poison-powder,sleep-powder,petal-dance,string-shot,earthquake,toxic,rage,mimic,double-team,defense-curl,light-screen,reflect,bide,amnesia,flash,rest,substitute,snore,curse,protect,scary-face,sludge-bomb,mud-slap,outrage,giga-drain,endure,charm,false-swipe,swagger,fury-cutter,attract,sleep-talk,return,frustration,safeguard,sweet-scent,synthesis,hidden-power,sunny-day,rock-smash,facade,nature-power,helping-hand,ingrain,knock-off,secret-power,weather-ball,bullet-seed,block,frenzy-plant,magical-leaf,natural-gift,worry-seed,poison-jab,seed-bomb,energy-ball,earth-power,giga-impact,rock-climb,leaf-storm,power-whip,captivate,grass-knot,venoshock,acid-spray,round,echoed-voice,grass-pledge,bulldoze,work-up,petal-blizzard,grassy-terrain,confide,stomping-tantrum,grassy-glide,terrain-pulse,tera-blast,trailblaze",1,87.5,12.5,False,45,False,False,generation-i,"fairy,grass,ground,rock,water","bug,fire,flying,ground,ice,poison,psychic","bug,electric,fairy,fighting,grass,ground,poison,water",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,ivysaur,,False,,,,80,82,83,100,100,80
4,charmander,6,85,62,fire,"blaze,solar-power","mega-punch,fire-punch,thunder-punch,scratch,swords-dance,cut,wing-attack,mega-kick,headbutt,body-slam,take-down,double-edge,leer,bite,growl,roar,ember,flamethrower,submission,counter,seismic-toss,strength,dragon-rage,fire-spin,dig,toxic,rage,mimic,double-team,smokescreen,defense-curl,reflect,bide,fire-blast,swift,skull-bash,fury-swipes,rest,rock-slide,slash,substitute,snore,curse,protect,scary-face,belly-drum,mud-slap,outrage,endure,false-swipe,swagger,fury-cutter,attract,sleep-talk,return,frustration,dynamic-punch,dragon-breath,iron-tail,metal-claw,hidden-power,sunny-day,crunch,ancient-power,rock-smash,beat-up,heat-wave,will-o-wisp,facade,focus-punch,helping-hand,brick-break,secret-power,weather-ball,air-cutter,overheat,rock-tomb,aerial-ace,dragon-claw,dragon-dance,natural-gift,fling,flare-blitz,dragon-pulse,dragon-rush,focus-blast,shadow-claw,fire-fang,captivate,hone-claws,flame-burst,flame-charge,round,echoed-voice,incinerate,acrobatics,inferno,fire-pledge,dragon-tail,work-up,confide,power-up-punch,breaking-swipe,tera-blast,temper-flare",1,87.5,12.5,False,45,False,False,generation-i,"bug,grass,ice,steel","ground,rock,water","bug,fairy,fire,grass,ice,steel",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,,charmeleon,True,charmeleon por level-up (nivel 16),"alola-route-3-main,kanto-route-24-area,lumiose-city-area,pallet-town-area","blue,firered,heartgold,leafgreen,red,soulsilver,ultra-moon,ultra-sun,x,y,yellow",39,52,43,60,50,65
5,charmeleon,11,190,142,fire,"blaze,solar-power","mega-punch,fire-punch,thunder-punch,scratch,swords-dance,cut,mega-kick,headbutt,body-slam,take-down,double-edge,leer,bite,growl,roar,ember,flamethrower,submission,counter,seismic-toss,strength,dragon-rage,fire-spin,dig,toxic,rage,mimic,double-team,smokescreen,defense-curl,reflect,bide,fire-blast,swift,skull-bash,fury-swipes,rest,rock-slide,slash,substitute,snore,curse,protect,scary-face,belly-drum,mud-slap,outrage,endure,false-swipe,swagger,fury-cutter,attract,sleep-talk,return,frustration,dynamic-punch,dragon-breath,iron-tail,metal-claw,hidden-power,sunny-day,crunch,ancient-power,rock-smash,beat-up,heat-wave,will-o-wisp,facade,focus-punch,helping-hand,brick-break,secret-power,weather-ball,overheat,rock-tomb,aerial-ace,dragon-claw,dragon-dance,natural-gift,fling,flare-blitz,dragon-pulse,dragon-rush,focus-blast,shadow-claw,fire-fang,captivate,hone-claws,flame-burst,flame-charge,round,echoed-voice,incinerate,acrobatics,inferno,fire-pledge,dragon-tail,work-up,confide,power-up-punch,breaking-swipe,tera-blast,temper-flare",1,87.5,12.5,False,45,False,False,generation-i,"bug,grass,ice,steel","ground,rock,water","bug,fairy,fire,grass,ice,steel",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,charmander,charizard,True,charizard por level-up (nivel 36),,,58,64,58,80,65,80
6,charizard,17,905,240,"fire,flying","blaze,solar-power","mega-punch,fire-punch,thunder-punch,scratch,swords-dance,cut,wing-attack,fly,mega-kick,headbutt,body-slam,take-down,double-edge,leer,bite,growl,roar,ember,flamethrower,hyper-beam,submission,counter,seismic-toss,strength,solar-beam,dragon-rage,fire-spin,earthquake,fissure,dig,toxic,rage,mimic,double-team,smokescreen,defense-curl,reflect,bide,fire-blast,swift,skull-bash,fury-swipes,rest,rock-slide,slash,substitute,snore,curse,protect,scary-face,belly-drum,mud-slap,outrage,sandstorm,endure,false-swipe,swagger,fury-cutter,steel-wing,attract,sleep-talk,return,frustration,dynamic-punch,dragon-breath,iron-tail,metal-claw,hidden-power,twister,sunny-day,crunch,ancient-power,rock-smash,beat-up,heat-wave,will-o-wisp,facade,focus-punch,helping-hand,brick-break,secret-power,blaze-kick,blast-burn,weather-ball,air-cutter,overheat,rock-tomb,aerial-ace,dragon-claw,dragon-dance,roost,natural-gift,tailwind,fling,flare-blitz,air-slash,dragon-pulse,dragon-rush,focus-blast,giga-impact,shadow-claw,fire-fang,defog,captivate,ominous-wind,hone-claws,flame-burst,flame-charge,round,echoed-voice,sky-drop,incinerate,acrobatics,inferno,fire-pledge,bulldoze,dragon-tail,work-up,heat-crash,hurricane,confide,mystical-fire,power-up-punch,brutal-swing,breaking-swipe,scale-shot,dual-wingbeat,scorching-sands,tera-blast,dragon-cheer,temper-flare",1,87.5,12.5,False,45,False,False,generation-i,"bug,fighting,grass,ice,steel","electric,ground,ice,rock,water","bug,fairy,fighting,fire,grass,ice,steel",ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,charmeleon,,False,,,,78,84,78,109,85,100
7,squirtle,5,90,63,water,"torrent,rain-dish","mega-punch,ice-punch,mega-kick,headbutt,tackle,body-slam,take-down,double-edge,tail-whip,bite,mist,water-gun,hydro-pump,surf,ice-beam,blizzard,bubble-beam,submission,counter,seismic-toss,strength,dig,toxic,confusion,rage,mimic,double-team,withdraw,defense-curl,haze,reflect,bide,waterfall,skull-bash,bubble,rest,rock-slide,substitute,snore,curse,flail,protect,mud-slap,foresight,icy-wind,outrage,endure,rollout,false-swipe,swagger,attract,sleep-talk,return,frustration,dynamic-punch,rapid-spin,iron-tail,hidden-power,rain-dance,mirror-coat,rock-smash,whirlpool,fake-out,hail,facade,focus-punch,follow-me,helping-hand,brick-break,yawn,refresh,secret-power,dive,mud-sport,weather-ball,rock-tomb,water-spout,muddy-water,iron-defense,mud-shot,water-pulse,gyro-ball,brine,natural-gift,fling,aqua-ring,aura-sphere,aqua-tail,dragon-pulse,zen-headbutt,captivate,aqua-jet,round,scald,shell-smash,water-pledge,work-up,confide,power-up-punch,liquidation,life-dew,flip-turn,wave-crash,tera-blast,ice-spinner,chilling-water",1,87.5,12.5,False,45,False,False,generation-i,"fire,ground,rock","electric,grass","fire,ice,steel,water",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,,wartortle,True,wartortle por level-up (nivel 16),"lumiose-city-area,pallet-town-area,seaward-cave-area,vermilion-city-area","blue,firered,heartgold,leafgreen,red,soulsilver,ultra-moon,ultra-sun,x,y,yellow",44,48,65,50,64,43
8,wartortle,10,225,142,water,"torrent,rain-dish","mega-punch,ice-punch,mega-kick,headbutt,tackle,body-slam,take-down,double-edge,tail-whip,bite,mist,water-gun,hydro-pump,surf,ice-beam,blizzard,bubble-beam,submission,counter,seismic-toss,strength,dig,toxic,rage,mimic,double-team,withdraw,defense-curl,haze,reflect,bide,waterfall,skull-bash,bubble,rest,rock-slide,substitute,snore,curse,flail,protect,mud-slap,icy-wind,outrage,endure,rollout,false-swipe,swagger,attract,sleep-talk,return,frustration,dynamic-punch,rapid-spin,iron-tail,hidden-power,rain-dance,mirror-coat,rock-smash,whirlpool,fake-out,hail,facade,focus-punch,helping-hand,brick-break,yawn,secret-power,dive,weather-ball,rock-tomb,water-spout,muddy-water,iron-defense,mud-shot,water-pulse,gyro-ball,brine,natural-gift,fling,aqua-ring,aura-sphere,aqua-tail,dragon-pulse,zen-headbutt,captivate,aqua-jet,round,scald,shell-smash,water-pledge,work-up,confide,power-up-punch,liquidation,life-dew,flip-turn,wave-crash,tera-blast,ice-spinner,chilling-water",1,87.5,12.5,False,45,False,False,generation-i,"fire,ground,rock","electric,grass","fire,ice,steel,water",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,squirtle,blastoise,True,blastoise por level-up (nivel 36),,,59,63,80,65,80,58
9,blastoise,16,855,239,water,"torrent,rain-dish","mega-punch,ice-punch,mega-kick,headbutt,tackle,body-slam,take-down,double-edge,tail-whip,bite,roar,mist,water-gun,hydro-pump,surf,ice-beam,blizzard,bubble-beam,hyper-beam,submission,counter,seismic-toss,strength,earthquake,fissure,dig,toxic,rage,mimic,double-team,withdraw,defense-curl,haze,reflect,bide,waterfall,skull-bash,bubble,rest,rock-slide,substitute,snore,curse,flail,protect,scary-face,mud-slap,icy-wind,outrage,endure,rollout,false-swipe,swagger,attract,sleep-talk,return,frustration,dynamic-punch,rapid-spin,iron-tail,hidden-power,rain-dance,crunch,mirror-coat,rock-smash,whirlpool,fake-out,hail,facade,focus-punch,helping-hand,brick-break,yawn,secret-power,dive,hydro-cannon,weather-ball,rock-tomb,water-spout,signal-beam,muddy-water,iron-defense,mud-shot,water-pulse,gyro-ball,brine,natural-gift,fling,aqua-ring,aura-sphere,dark-pulse,aqua-tail,dragon-pulse,focus-blast,giga-impact,avalanche,zen-headbutt,flash-cannon,rock-climb,captivate,aqua-jet,smack-down,round,scald,shell-smash,water-pledge,bulldoze,dragon-tail,work-up,confide,power-up-punch,liquidation,body-press,life-dew,terrain-pulse,flip-turn,wave-crash,tera-blast,ice-spinner,chilling-water",1,87.5,12.5,False,45,False,False,generation-i,"fire,ground,rock","electric,grass","fire,ice,steel,water",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,wartortle,,False,,,,79,83,100,85,105,78
10,caterpie,3,29,39,bug,"shield-dust,run-away","tackle,string-shot,snore,bug-bite,electroweb",4,50.0,50.0,False,255,False,False,generation-i,"dark,grass,psychic","fire,flying,rock","fighting,grass,ground",,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,,metapod,True,metapod por level-up (nivel 7),"alola-route-1-east,alola-route-1-south,alola-route-1-west,alola-route-5-area,azalea-town-area,eterna-forest-area,ilex-forest-area,johto-route-30-area,johto-route-31-area,johto-route-34-area,johto-route-35-area,johto-route-36-area,johto-route-37-area,johto-route-38-area,johto-route-39-area,kalos-route-2-area,kanto-route-2-north-towards-pewter-city,kanto-route-2-south-towards-viridian-city,kanto-route-24-area,kanto-route-25-area,kanto-route-26-area,kanto-route-27-area,lake-of-rage-area,lush-jungle-north,lush-jungle-south,lush-jungle-west,melemele-meadow-area,national-park-area,pattern-bush-area,santalune-forest-area,sinnoh-route-204-north-towards-floaroma-town,sinnoh-route-204-south-towards-jubilife-city,unknown-all-bugs-area,viridian-forest-area","blue,crystal,diamond,firered,gold,heartgold,leafgreen,moon,pearl,platinum,red,sun,ultra-moon,ultra-sun,x,y,yellow",45,30,35,20,20,45
